[2025-04-10 11:56:23.659] Ticket added by - Vendor ID-2 - current size is 1 - Ticket info - Ticket{ticketId=v2t1, eventName='Movie: Despicable Me 4', ticketPrice=2500.0}
[2025-04-10 11:56:23.663] Ticket bought by - Customer ID-3 - current size is - 0 - Ticket info - Ticket{ticketId=v2t1, eventName='Movie: Despicable Me 4', ticketPrice=2500.0}
[2025-04-10 11:56:23.663] Ticket added by - Vendor ID-1 - current size is 1 - Ticket info - Ticket{ticketId=v1t1, eventName='Movie: Deadpool 3', ticketPrice=2000.0}
[2025-04-10 11:56:23.663] Ticket added by - Vendor ID-4 - current size is 2 - Ticket info - Ticket{ticketId=v4t1, eventName='Musical Festival: Spandana 3.0', ticketPrice=3000.0}
[2025-04-10 11:56:23.663] Ticket added by - Vendor ID-3 - current size is 3 - Ticket info - Ticket{ticketId=v3t1, eventName='Cricket Match: Sri Lanka vs India', ticketPrice=1000.0}
[2025-04-10 11:56:23.663] Ticket bought by - Customer ID-2 - current size is - 2 - Ticket info - Ticket{ticketId=v1t1, eventName='Movie: Deadpool 3', ticketPrice=2000.0}
[2025-04-10 11:56:23.663] Ticket bought by - Customer ID-1 - current size is - 1 - Ticket info - Ticket{ticketId=v4t1, eventName='Musical Festival: Spandana 3.0', ticketPrice=3000.0}
[2025-04-10 11:56:23.670] Ticket bought by - Customer ID-3 - current size is - 0 - Ticket info - Ticket{ticketId=v3t1, eventName='Cricket Match: Sri Lanka vs India', ticketPrice=1000.0}
[2025-04-10 11:56:24.664] Ticket added by - Vendor ID-1 - current size is 1 - Ticket info - Ticket{ticketId=v1t2, eventName='Movie: Deadpool 3', ticketPrice=2000.0}
[2025-04-10 11:56:24.664] Ticket bought by - Customer ID-1 - current size is - 0 - Ticket info - Ticket{ticketId=v1t2, eventName='Movie: Deadpool 3', ticketPrice=2000.0}
[2025-04-10 11:56:24.664] Ticket added by - Vendor ID-2 - current size is 1 - Ticket info - Ticket{ticketId=v2t2, eventName='Movie: Despicable Me 4', ticketPrice=2500.0}
[2025-04-10 11:56:24.664] Ticket bought by - Customer ID-3 - current size is - 0 - Ticket info - Ticket{ticketId=v2t2, eventName='Movie: Despicable Me 4', ticketPrice=2500.0}
[2025-04-10 11:56:24.666] Ticket added by - Vendor ID-3 - current size is 1 - Ticket info - Ticket{ticketId=v3t2, eventName='Cricket Match: Sri Lanka vs India', ticketPrice=1000.0}
[2025-04-10 11:56:24.666] Ticket bought by - Customer ID-2 - current size is - 0 - Ticket info - Ticket{ticketId=v3t2, eventName='Cricket Match: Sri Lanka vs India', ticketPrice=1000.0}
[2025-04-10 11:56:24.666] Ticket added by - Vendor ID-4 - current size is 1 - Ticket info - Ticket{ticketId=v4t2, eventName='Musical Festival: Spandana 3.0', ticketPrice=3000.0}
[2025-04-10 11:56:24.670] Ticket bought by - Customer ID-1 - current size is - 0 - Ticket info - Ticket{ticketId=v4t2, eventName='Musical Festival: Spandana 3.0', ticketPrice=3000.0}
[2025-04-10 11:56:25.664] Ticket added by - Vendor ID-2 - current size is 1 - Ticket info - Ticket{ticketId=v2t3, eventName='Movie: Despicable Me 4', ticketPrice=2500.0}
[2025-04-10 11:56:25.664] Ticket bought by - Customer ID-3 - current size is - 0 - Ticket info - Ticket{ticketId=v2t3, eventName='Movie: Despicable Me 4', ticketPrice=2500.0}
[2025-04-10 11:56:25.664] Ticket added by - Vendor ID-1 - current size is 1 - Ticket info - Ticket{ticketId=v1t3, eventName='Movie: Deadpool 3', ticketPrice=2000.0}
[2025-04-10 11:56:25.664] Ticket bought by - Customer ID-1 - current size is - 0 - Ticket info - Ticket{ticketId=v1t3, eventName='Movie: Deadpool 3', ticketPrice=2000.0}
[2025-04-10 11:56:25.666] Ticket added by - Vendor ID-3 - current size is 1 - Ticket info - Ticket{ticketId=v3t3, eventName='Cricket Match: Sri Lanka vs India', ticketPrice=1000.0}
[2025-04-10 11:56:25.666] Ticket bought by - Customer ID-2 - current size is - 0 - Ticket info - Ticket{ticketId=v3t3, eventName='Cricket Match: Sri Lanka vs India', ticketPrice=1000.0}
[2025-04-10 11:56:25.668] Ticket added by - Vendor ID-4 - current size is 1 - Ticket info - Ticket{ticketId=v4t3, eventName='Musical Festival: Spandana 3.0', ticketPrice=3000.0}
